Cod	ArtTe	Det	FrVeg	InsAq	MicAq	InvAq	Px	ALG	ARE	CAN	LOC	FOL	TmOl	PsOl	PsBo	FoCo	EsPC	PsNP	AsNP	AsNC	LogM
Aeq_pal	1	1	1	2	1	1	0	1	0	1	1	1	0.43	0.68	0.35	2.44	1.57	0.36	2.91	1.05	1.89
Ana_orn	2	0	0	2	0	0	0	2	0	0	1	1	0.71	0.55	0.64	0.91	1.40	0.54	3.39	0.55	0.09
Api_spp	0	1	0	2	2	0	0	1	0	0	1	1	0.57	0.69	0.47	2.01	1.30	0.36	3.19	0.89	0.78
Bry_cau	2	0	1	1	0	0	0	0	0	2	0	0	0.61	0.60	0.59	2.62	2.78	0.06	4.29	2.09	1.74
Bry_inp	2	0	1	1	0	0	0	0	0	2	0	0	0.63	0.60	0.64	2.41	2.88	0.08	4.96	2.54	1.46
Bry_mel	2	0	1	1	0	0	0	0	0	2	0	0	0.64	0.65	0.60	1.98	2.96	0.11	4.92	2.49	2.26
Cal_cal	0	2	0	2	2	0	0	1	0	1	0	1	0.20	0.81	0.32	0.93	1.74	0.22	2.05	1.19	1.13
Cop_nig	2	1	1	2	0	0	0	1	0	1	1	1	0.74	0.58	0.77	2.00	1.73	0.21	5.18	0.90	0.37
Cre_inp	0	0	0	1	0	2	2	0	0	2	1	0	0.65	0.64	0.53	1.66	1.47	0.45	2.55	1.00	2.19
Cre_sem	0	0	0	1	0	2	2	0	0	2	0	1	0.62	0.63	0.45	1.71	1.34	0.43	3.17	0.85	1.28
Ery_ery	2	0	0	2	0	2	1	1	0	1	1	1	0.52	0.67	0.52	1.21	1.31	0.22	2.33	1.08	2.34
Gla_mac	2	0	0	0	1	0	0	0	0	0	2	0	0.34	0.85	0.40	0.78	1.33	0.47	3.27	0.36	0.11
Gym_cor	0	1	0	2	0	0	0	0	2	0	0	0	0.16	0.78	0.18	3.35	0.00	0.26	3.25	0.00	1.09
Hel_mar	2	1	0	1	0	0	0	0	0	1	1	1	0.20	0.81	0.39	1.95	1.83	0.48	2.73	1.27	1.24
Hem_sch	2	0	0	2	0	0	0	2	0	0	0	0	0.63	0.55	0.51	2.61	2.56	0.11	4.79	1.47	0.49
Hop_mal	1	0	0	1	0	2	1	1	0	0	2	1	0.48	0.76	0.52	1.44	1.45	0.19	2.48	1.17	3.78
Hyp_me1	2	0	0	2	0	0	0	0	0	2	0	0	0.60	0.55	0.54	2.94	2.92	0.11	5.49	1.49	0.80
Hyp_eri	2	0	0	2	0	0	0	0	0	2	0	0	0.64	0.55	0.63	2.64	2.30	0.09	5.30	1.05	0.68
Hyp_sp.	2	0	0	2	0	0	0	0	0	2	0	0	0.62	0.55	0.58	2.79	2.61	0.10	5.39	1.27	0.74
Igu_var	2	0	0	1	0	0	0	0	0	2	0	0	0.65	0.59	0.48	2.28	3.26	0.14	4.74	2.48	1.26
Lai_dib	2	0	0	2	0	0	0	2	0	0	1	1	0.66	0.63	0.82	1.26	1.72	0.42	2.55	0.90	0.28
Pyr_bre	2	1	1	2	0	0	0	1	0	1	1	1	0.61	0.55	0.73	1.92	1.33	0.10	4.83	0.92	1.35
Syn_mar	1	1	0	2	0	0	0	2	0	0	1	0	0.21	0.64	0.47	1.10	0.00	0.00	0.00	0.00	1.46

