Functional trait	PC1	PC2	PC3	R²	p-value
ArtTe	-0.723271667	0.679756391	-0.121693652	0.429563071	0.015
Det	0.579684905	-0.351989935	-0.734893527	0.436883034	0.013
FrVeg	-0.992098729	-0.023614412	0.123217175	0.170769554	0.308
InsAq	0.014736138	0.415775156	-0.909348045	0.531262807	0.002
MicAq	0.926896511	-0.375264659	0.006268386	0.204998405	0.218
InvAq	0.201121644	-0.080083657	0.976287198	0.502934277	0.006
Px	0.138463208	-0.070704557	0.987840476	0.460791188	0.011
ALG	0.28402193	0.875559492	-0.390803171	0.760503093	0.001
ARE	0.246514722	-0.596917461	-0.763492002	0.542221359	0.051
CAN	-0.66493913	-0.543923127	0.511862858	0.811185854	0.001
LOC	0.578321675	0.559973269	0.593273949	0.659125818	0.001
FOL	0.494590129	0.676579487	0.545546334	0.428624228	0.02
TmOl	-0.584366592	0.718800805	0.37661796	0.89080976	0.001
PsOl	0.661962899	-0.668449425	0.339087728	0.837917995	0.001
PsBo	-0.420804012	0.889971109	0.175713997	0.81154326	0.001
FoCo	-0.463739935	-0.57604968	-0.673135974	0.723982783	0.001
EsPC	-0.907984828	-0.135584429	0.396459853	0.797358244	0.001
PsNP	0.544572358	0.337020925	0.768022033	0.533541166	0.003
AsNP	-0.964963857	-0.009494247	-0.262211011	0.730296692	0.001
AsNC	-0.75764357	-0.362991852	0.542414174	0.748106834	0.001
LogM	0.049957793	-0.582472983	0.811313406	0.383146395	0.018
